record_date,stmt_fiscal_year,restmt_flag,account_desc,line_item_desc,position_bil_amt,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2002-09-30,2002,N,Assets,"Accounts receivable, net",32.0,2,2002,4,2002,3,09,30
2002-09-30,2002,N,Assets,"Taxes receivable, net",21.4,4,2002,4,2002,3,09,30
2002-09-30,2002,N,Assets,"Inventories and related property, net",192.2,5,2002,4,2002,3,09,30
2002-09-30,2002,N,Assets,"Property, plant and equipment, net",324.7,6,2002,4,2002,3,09,30
2002-09-30,2002,N,Assets,Other assets,65.4,7,2002,4,2002,3,09,30
2002-09-30,2002,N,Assets,Total assets,996.5,8,2002,4,2002,3,09,30
2002-09-30,2002,N,Liabilities,Accounts payable,55.8,9,2002,4,2002,3,09,30
2002-09-30,2002,N,Liabilities,Federal debt securities held by the public and accrued interest,3573.2,10,2002,4,2002,3,09,30
2002-09-30,2002,N,Liabilities,Federal employee and veteran benefits payable,3589.4,11,2002,4,2002,3,09,30
2002-09-30,2002,N,Liabilities,Environmental and disposal liabilities,273.0,12,2002,4,2002,3,09,30
2002-09-30,2002,N,Liabilities,Benefits due and payable,95.3,13,2002,4,2002,3,09,30
2002-09-30,2001,Y,Assets,"Taxes receivable, net",21.1,4,2002,4,2002,3,09,30
2002-09-30,2001,Y,Assets,"Inventories and related property, net",183.8,5,2002,4,2002,3,09,30
2002-09-30,2001,Y,Assets,"Property, plant and equipment, net",306.7,6,2002,4,2002,3,09,30
2002-09-30,2001,Y,Assets,Other assets,63.4,7,2002,4,2002,3,09,30
2002-09-30,2001,Y,Assets,Total assets,926.1,8,2002,4,2002,3,09,30
2002-09-30,2001,Y,Liabilities,Accounts payable,56.2,9,2002,4,2002,3,09,30
2002-09-30,2001,Y,Liabilities,Federal debt securities held by the public and accrued interest,3359.3,10,2002,4,2002,3,09,30
